package_name,component,application_or_service,repo,openstack_release,2018.4.0,2018.11.0,2019.2.0,2019.2.1,2019.2.2
accountsservice,,,,,,,,,
acl,,,,,,,,,
acpid,,,,,,,,,
adduser,,,,,,,,,
alembic,,,,,,,,,
amd64-microcode,,,,,,,,,
apache2,System,WebCGI,,,,,,,
apache2-bin,System,WebCGI,,,,,,,
apache2-data,System,WebCGI,,,,,,,
apache2-utils,System,WebCGI,,,,,,,
apparmor,System,Virtualization,,,,,,,
apport,,,,,,,,,
apport-symptoms,,,,,,,,,
apt,DriveTrain,Aptly,mirantis,,,,,,
apt-transport-https,DriveTrain,Aptly,mirantis,,,,,,
apt-utils,DriveTrain,Aptly,mirantis,,,,,,
archdetect-deb,,,,,,,,,
at,,,,,,,,,
attr,,,,,,,,,
augeas-lenses,,,,,,,,,
authbind,,,,,,,,,
avahi-daemon,,,,,,,,,
avahi-utils,,,,,,,,,
backupninja,,,,,,,,,
base-files,,,,,,,,,
base-passwd,,,,,,,,,
bash,System,Shell,,,,,,,
bash-completion,System,Shell,,,,,,,
bc,,,,,,,,,
bcache-tools,,,,,,,,,
bind9,,,,,,,,,
bind9-host,,,,,,,,,
bind9utils,,,,,,,,,
binutils,,,,,,,,,
bridge-utils,,,,,,,,,
bsd-mailx,,,,,,,,,
bsdmainutils,,,,,,,,,
bsdutils,,,,,,,,,
btrfs-tools,,,,,,,,,
busybox-initramfs,,,,,,,,,
busybox-static,,,,,,,,,
byobu,System,Shell,,,,,,,
bzip2,,,,,,,,,
ca-certificates,System,SSL,,,,,,,
ca-certificates-java,System,SSL,,,,,,,
ceph-base,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
ceph-common,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
ceph-mgr,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
ceph-mon,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
ceph-osd,Distributed storage,Ceph,mirantis,,,12.2.8-1~u16.04+mcp142,12.2.8-1~u16.04+mcp142,,
cinder-common,OpenStack,Cinder,mirantis,Queens,,12.0.4-2~u16.04+mcp69,2:12.0.4-2~u16.04+mcp96 [5],,
cinder-scheduler,OpenStack,Cinder,mirantis,Queens,,12.0.4-2~u16.04+mcp69,2:12.0.4-2~u16.04+mcp96 [5],,
cinder-volume,OpenStack,Cinder,mirantis,Queens,,12.0.4-2~u16.04+mcp69,2:12.0.4-2~u16.04+mcp96 [5],,
cloud-guest-utils,,,,,,,,,
cloud-initramfs-copymods,,,,,,,,,
cloud-initramfs-dyn-netconf,,,,,,,,,
command-not-found,,,,,,,,,
command-not-found-data,,,,,,,,,
conntrack,,,,,,,,,
console-setup,,,,,,,,,
console-setup-linux,,,,,,,,,
coreutils,,,,,,,,,
cpio,,,,,,,,,
crda,,,,,,,,,
cron,,,,,,,,,
cryptsetup,,,,,,,,,
cryptsetup-bin,,,,,,,,,
curl,,,,,,,,,
curtin-common,,,,,,,,,
daemon,,,,,,,,,
dash,,,,,,,,,
dbconfig-common,,,,,,,,,
dbconfig-pgsql,,,,,,,,,
dbus,,,,,,,,,
dctrl-tools,,,,,,,,,
debconf,,,,,,,,,
debconf-i18n,,,,,,,,,
debconf-utils,,,,,,,,,
debianutils,,,,,,,,,
debootstrap,,,,,,,,,
default-jre-headless,,,,,,,,,
dh-python,,,,,,,,,
dialog,,,,,,,,,
diffutils,,,,,,,,,
distro-info,,,,,,,,,
distro-info-data,,,,,,,,,
dmeventd,,,,,,,,,
dmidecode,,,,,,,,,
dmsetup,,,,,,,,,
dns-root-data,,,,,,,,,
dnsmasq-base,System,Networking,,,,,,,
dnsmasq-utils,System,Networking,,,,,,,
dnsutils,System,Networking,,,,,,,
docker-ce,System,Docker,mirror,,,18.06.1,5:18.09.0~3-0~ubuntu-xenial,,
docutils-common,,,,,,,,,
dosfstools,,,,,,,,,
dpkg,System,Packaging,,,,,,,
dpkg-dev,System,Packaging,,,,,,,
e2fslibs,,,,,,,,,
e2fsprogs,,,,,,,,,
eatmydata,,,,,,,,,
ebtables,,,,,,,,,
ed,,,,,,,,,
eject,,,,,,,,,
elasticsearch,StackLight LMA,Elasticsearch,mirror,,,5.6.12,6.5.2,,
elasticsearch-curator,StackLight LMA,Elasticsearch,,,,,,,
erlang-asn1,System,Erlang,,,,,,,
erlang-base-hipe,System,Erlang,,,,,,,
